"shrinkage","interaction.depth","n.minobsinnode","n.trees","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
0.001,5,8,1200,6.11117532923338,0.672867356211051,5.13053815165742,0.0346137865395862,0.00324028572995478,0.0250493424902107
0.001,5,20,1200,6.11116594172305,0.672972950269615,5.13095702070001,0.0345871320320599,0.00313540167755748,0.0256065582549418
0.01,5,8,1200,4.92183316866327,0.73459095242255,3.91096296256986,0.0172818323725685,0.00067819672095828,0.0150706076270446
0.01,5,20,1200,4.92263392335471,0.734501336381623,3.91142085181376,0.016929078344416,0.000686435167646097,0.0150411556397413
0.1,5,8,1200,4.71348937381781,0.756508865922774,3.69417212379082,0.0115548540434636,0.000971476453732951,0.0132725442262159
0.1,5,20,1200,4.71255549068022,0.756600296308451,3.69326832194621,0.0129327363736864,0.000874472370712698,0.0133811953239187
0.001,10,8,1200,5.85179836005504,0.700882321306672,4.89322344833061,0.0335016818547164,0.00233433445707508,0.0248476719064755
0.001,10,20,1200,5.85153788562542,0.700895218440065,4.89302774846594,0.0334360483600085,0.00231965437680366,0.0247896997776605
0.01,10,8,1200,4.82042521897605,0.745373979543385,3.79962859459375,0.0152769384285658,0.000651848132488213,0.0158023184629348
0.01,10,20,1200,4.82118588316978,0.745293154965246,3.79918605081738,0.0148775674840575,0.000465022264360105,0.0142002737705506
0.1,10,8,1200,4.67358827996953,0.760596534918894,3.64389514536501,0.0123437367093053,0.0010972597068508,0.0126891137732867
0.1,10,20,1200,4.66485330063356,0.76148653938242,3.63906922443389,0.0127512928557894,0.000750720183858157,0.0129442929821209
0.001,20,8,1200,5.71163356303118,0.716076133338466,4.76771267954695,0.0299955905772899,0.0015207676297362,0.0213636026665214
0.001,20,20,1200,5.7116715235539,0.716061728308332,4.76778270408966,0.0303801162439908,0.00164349444031291,0.0216997170668695
0.01,20,8,1200,4.74458161517538,0.753321311577045,3.72120715422546,0.0138321644117569,0.000760442930451225,0.0139824010158153
0.01,20,20,1200,4.74236594214982,0.753552738119109,3.71856752836016,0.0131168737473674,0.00060165415996715,0.0136125461364963
0.1,20,8,1200,4.64296891742387,0.763730386234082,3.6080477194353,0.0113592376586022,0.00126351978993696,0.0115924895111645
0.1,20,20,1200,4.63995705178309,0.764033440729298,3.60475395226722,0.0133325540834305,0.00156718029570054,0.00815297461634909
